n_steps,audit_probability,return_fidelity,expected_score,classical_memory_bound,collective_classical_record_bound,raw_margin_above_classical,systematic_per_branch,null_slack,adjusted_margin,alpha,beta,planned_audit_trials,planned_return_trials,planned_total_trials,planning_feasible
1,0.996505,0.992015,0.9942599999999999,0.8535533905932737,0.8535533905932737,0.1407066094067262,0.005,0.005,0.13070660940672618,0.01,0.1,196,197,393,True
2,0.99551199,0.989038955,0.9922754725,0.75,0.8535533905932737,0.24227547250000003,0.005,0.005,0.23227547250000002,0.01,0.1,62,63,125,True
3,0.9945209660200001,0.986071838135,0.9902964020775,0.75,0.8535533905932737,0.24029640207750003,0.005,0.005,0.23029640207750002,0.01,0.1,64,63,127,True
4,0.99353192408796,0.983113622620595,0.9883227733542774,0.75,0.8535533905932737,0.23832277335427743,0.005,0.005,0.22832277335427742,0.01,0.1,64,65,129,True
5,0.992544860239784,0.9801642817527332,0.9863545709962587,0.75,0.8535533905932737,0.23635457099625867,0.005,0.005,0.22635457099625866,0.01,0.1,66,65,131,True
6,0.9915597705193044,0.9772237889074751,0.9843917797133898,0.75,0.8535533905932737,0.23439177971338976,0.005,0.005,0.22439177971338975,0.01,0.1,67,67,134,True
7,0.9905766509782659,0.9742921175407525,0.9824343842595091,0.75,0.8535533905932737,0.23243438425950913,0.005,0.005,0.22243438425950912,0.01,0.1,68,68,136,True
8,0.9895954976763093,0.9713692411881303,0.9804823694322198,0.75,0.8535533905932737,0.23048236943221978,0.005,0.005,0.22048236943221977,0.01,0.1,70,69,139,True
9,0.9886163066809568,0.9684551334645659,0.9785357200727614,0.75,0.8535533905932737,0.22853572007276135,0.005,0.005,0.21853572007276134,0.01,0.1,70,71,141,True
10,0.9876390740675949,0.9655497680641723,0.9765944210658836,0.75,0.8535533905932737,0.22659442106588357,0.005,0.005,0.21659442106588356,0.01,0.1,72,72,144,True
11,0.9866637959194596,0.9626531187599797,0.9746584573397197,0.75,0.8535533905932737,0.22465845733971967,0.005,0.005,0.21465845733971967,0.01,0.1,73,73,146,True
12,0.9856904683276208,0.9597651594036998,0.9727278138656603,0.75,0.8535533905932737,0.22272781386566032,0.005,0.005,0.2127278138656603,0.01,0.1,74,75,149,True
13,0.9847190873909655,0.9568858639254886,0.970802475658227,0.75,0.8535533905932737,0.22080247565822697,0.005,0.005,0.21080247565822696,0.01,0.1,76,76,152,True
14,0.9837496492161835,0.9540152063337122,0.9688824277749478,0.75,0.8535533905932737,0.21888242777494782,0.005,0.005,0.2088824277749478,0.01,0.1,77,77,154,True
15,0.9827821499177511,0.9511531607147111,0.9669676553162312,0.75,0.8535533905932737,0.2169676553162312,0.005,0.005,0.20696765531623118,0.01,0.1,78,79,157,True
16,0.9818165856179157,0.9482997012325669,0.9650581434252413,0.75,0.8535533905932737,0.21505814342524132,0.005,0.005,0.2050581434252413,0.01,0.1,80,80,160,True
17,0.9808529524466798,0.9454548021288692,0.9631538772877746,0.75,0.8535533905932737,0.21315387728777457,0.005,0.005,0.20315387728777456,0.01,0.1,82,81,163,True
18,0.9798912465417865,0.9426184377224827,0.9612548421321345,0.75,0.8535533905932737,0.21125484213213452,0.005,0.005,0.20125484213213451,0.01,0.1,83,83,166,True
19,0.9789314640487029,0.9397905824093151,0.9593610232290091,0.75,0.8535533905932737,0.20936102322900907,0.005,0.005,0.19936102322900906,0.01,0.1,84,85,169,True
20,0.9779736011206055,0.9369712106620872,0.9574724058913464,0.75,0.8535533905932737,0.2074724058913464,0.005,0.005,0.1974724058913464,0.01,0.1,86,87,173,True
21,0.9770176539183643,0.934160297030101,0.9555889754742326,0.75,0.8535533905932737,0.2055889754742326,0.005,0.005,0.1955889754742326,0.01,0.1,88,88,176,True
22,0.9760636186105276,0.9313578161390106,0.9537107173747691,0.75,0.8535533905932737,0.2037107173747691,0.005,0.005,0.19371071737476908,0.01,0.1,90,89,179,True
23,0.9751114913733065,0.9285637426905936,0.95183761703195,0.75,0.8535533905932737,0.20183761703195002,0.005,0.005,0.19183761703195001,0.01,0.1,92,91,183,True
24,0.9741612683905598,0.9257780514625218,0.9499696599265408,0.75,0.8535533905932737,0.1999696599265408,0.005,0.005,0.1899696599265408,0.01,0.1,93,93,186,True
25,0.9732129458537788,0.9230007173081343,0.9481068315809565,0.75,0.8535533905932737,0.19810683158095654,0.005,0.005,0.18810683158095653,0.01,0.1,95,95,190,True
26,0.9722665199620713,0.9202317151562098,0.9462491175591405,0.75,0.8535533905932737,0.19624911755914054,0.005,0.005,0.18624911755914053,0.01,0.1,97,97,194,True
27,0.971321986922147,0.9174710200107412,0.9443965034664441,0.75,0.8535533905932737,0.1943965034664441,0.005,0.005,0.1843965034664441,0.01,0.1,99,99,198,True
