inverse_failure_probability,visibility,reset_fidelity,predicate_fidelity
0.0,1.0,1.0,0.9999999999999998
0.01,0.9384843819162837,0.9560569730857152,0.9538632864372122
0.02,0.8804780618389504,0.9141575390835329,0.9103585463792124
0.03,0.8257984434980875,0.8742000149855331,0.8693488326235652
0.04,0.7742714516865027,0.836087672261837,0.8307035887648766
0.05,0.7257311888281249,0.7997285246289062,0.7942983916210933
0.06,0.6800196025631743,0.7650351230382209,0.7600147019223805
0.07,0.6369861641075034,0.7319243577159851,0.7277396230806272
0.08,0.5964875571462147,0.7003172670865412,0.6973656678596609
0.09,0.5583873770243316,0.6701388534141713,0.6687905327682486
0.1,0.5225558400000003,0.6413179050000003,0.6419168799999999
0.11,0.4888695023283754,0.6137868247727092,0.6166521267462814
0.12,0.4572109889470464,0.587481465113805,0.5929082417102846
