channel,probability_per_operation,visibility,reset_fidelity,predicate_fidelity,target_contrast,trace
dephasing,0.0,1.0,1.0,0.9999999999999998,0.9999999999999997,0.9999999999999998
dephasing,0.01,0.9196688787798276,1.0,0.9397516590848703,0.9196688787798272,0.9999999999999999
dephasing,0.02,0.8450912690979081,1.0,0.8838184518234308,0.8450912690979077,0.9999999999999998
dephasing,0.03,0.7759059258433195,1.0,0.8319294443824892,0.7759059258433189,0.9999999999999998
dephasing,0.04,0.7117710512640487,1.0,0.7838282884480363,0.7117710512640484,0.9999999999999998
dephasing,0.05,0.6523634241009103,0.9999999999999981,0.7392725680756819,0.6523634241009092,0.9999999999999976
dephasing,0.06,0.597377559770259,1.0,0.6980331698276939,0.5973775597702585,0.9999999999999998
dephasing,0.07,0.5465249007728549,1.0,0.6598936755796408,0.5465249007728544,0.9999999999999998
dephasing,0.08,0.4995330365205603,1.0,0.62464977739042,0.4995330365205601,0.9999999999999998
dephasing,0.09,0.4561449517866976,1.0,0.5921087138400231,0.4561449517866974,0.9999999999999998
dephasing,0.1,0.4161183029999997,1.0,0.5620887272499996,0.41611830299999947,0.9999999999999998
dephasing,0.11,0.379224721615967,1.0,0.5344185412119751,0.37922472161596676,0.9999999999999997
dephasing,0.12,0.3452491438133087,1.0,0.5089368578599813,0.34524914381330846,0.9999999999999997
depolarizing,0.0,1.0,1.0,0.9999999999999998,0.9999999999999997,0.9999999999999998
depolarizing,0.01,0.9135786100058211,0.9048682794426057,0.9351839575043654,0.9135786100058206,1.0
depolarizing,0.02,0.8339734979188096,0.818873555468493,0.8754801234391074,0.8339734979188099,1.000000000000002
depolarizing,0.03,0.7606977778251105,0.7411749788481302,0.8205233333688327,0.7606977778251102,1.0000000000000002
depolarizing,0.04,0.6932957832198867,0.6710046638405956,0.7699718374149146,0.6932957832198862,0.9999999999999989
depolarizing,0.05,0.6313412891844384,0.6076617906594823,0.7235059668883281,0.6313412891844375,0.9999999999999972
depolarizing,0.06,0.5744358231993271,0.5505071471594027,0.6808268673994948,0.5744358231993264,0.9999999999999993
depolarizing,0.07,0.5222070608066064,0.4989580799622572,0.6416552956049544,0.5222070608066058,0.9999999999999983
depolarizing,0.08,0.474307302468103,0.45248382705390516,0.6057304768510774,0.4743073024681032,1.000000000000001
depolarizing,0.09,0.4304120280968051,0.41060120559622215,0.5728090210726036,0.43041202809680473,1.0000000000000004
depolarizing,0.1,0.39021852586499967,0.3728706303215449,0.5426638943987493,0.39021852586499906,0.999999999999999
depolarizing,0.11,0.35344459201574496,0.33889243941007474,0.5150834440118084,0.3534445920157445,0.9999999999999991
depolarizing,0.12,0.31982729852385566,0.30830350620045666,0.48987047389289184,0.3198272985238558,1.0000000000000009
amplitude_damping,0.0,1.0,1.0,0.9999999999999998,0.9999999999999997,0.9999999999999998
amplitude_damping,0.01,0.9407529121749376,0.9348534372148071,0.9555646841312031,0.9407529121749375,1.0000000000000002
amplitude_damping,0.02,0.8845834863206589,0.8742328729197884,0.913437614740494,0.8845834863206586,1.0000000000000004
amplitude_damping,0.03,0.8313535703967583,0.817878684065598,0.8735151777975683,0.8313535703967577,0.9999999999999999
amplitude_damping,0.04,0.7809303222829301,0.7655461417988982,0.8356977417121974,0.7809303222829298,0.9999999999999994
amplitude_damping,0.05,0.7331860326578639,0.717004579891143,0.7998895244933973,0.7331860326578631,0.9999999999999988
amplitude_damping,0.06,0.6879979533568611,0.6720366041065808,0.7659984650176451,0.6879979533568602,0.999999999999999
amplitude_damping,0.07,0.6452481310352786,0.6304373407477036,0.7339360982764582,0.6452481310352777,0.999999999999999
amplitude_damping,0.08,0.6048232459702437,0.5920137227256203,0.7036174344776828,0.6048232459702437,1.0000000000000002
amplitude_damping,0.09,0.5666144558382792,0.556583811599877,0.6749608418787091,0.5666144558382787,0.9999999999999997
amplitude_damping,0.1,0.5305172443115869,0.5239761541184464,0.6478879332336899,0.5305172443115865,0.9999999999999993
amplitude_damping,0.11,0.49643127432067335,0.49402917186503936,0.6223234557405046,0.49643127432067286,0.9999999999999993
amplitude_damping,0.12,0.46426024583586795,0.46659058268875486,0.5981951843769009,0.46426024583586784,1.0000000000000002
